,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.2782036672432178,0.2600296341796606,0.2648995920383574,0.391412360634901,0.3444551864283742,0.48432338311990625,0.16543084524462337,0.39334250752164357,0.2699599244344357,0.2497749585254854,0.23024012327036528,0.28864981585014715,0.2569116993629224,0.28515537610726543,0.326878203877,0.26414885022717915,0.3024773318970976,0.2937341221432707,0.33627515026206967,0.27321869516679975,0.25313706663042523,0.19355867389539674,0.27563512553621156,0.13807735828537188,0.3519737987008832,0.1451101007249991,0.26564465234001794,0.28833294358464107,0.24762119273859012,0.22665695807083736,0.27730855153373746,-0.041425810659030865,0.2639454544834503,0.16222889483786757,0.26143822916159876,0.23844231509980643,0.12525323194332372,0.2139041358964714,0.2659480767784448,0.02159774330720288,0.12914331604256038,0.27257745678881334,0.37186021526362983,0.22712466721363947,0.4007221098118166,,0.08733081714908923,0.16354284049086526,
RpS25,0.2782036672432178,1.0,0.27169962791610275,0.29774676892218493,0.33273476736528507,0.34066994957092295,0.4181959418240839,0.15270551687095055,0.39047394973852156,0.24236086823370284,0.26656673308399015,0.19029291090837364,0.22284911966306062,0.22546807160608615,0.234672454552238,0.21142657628402933,0.3349940622777615,0.26782874443464205,0.16451014896284102,0.24878581312591286,0.21522129663154063,0.17594992690441683,0.13101808080394656,0.20360518100221064,0.1333610080175027,0.3381858425469263,0.06989459113386391,0.20184047616397852,0.20116140864681897,0.19527397091521145,0.18719259293244714,0.24861111465842248,-0.048717116428333006,0.22577275528643723,0.08202113547548374,0.24143968572816296,0.18964977597431673,0.1431783448343569,0.21723098550358735,0.25459261443047343,0.015187593725968996,0.1487001318582328,0.22543335909131204,0.313551150331179,0.17992975386921892,0.3261263001612703,,0.0310812706383434,0.17457873037680924,
RpLP1,0.2600296341796606,0.27169962791610275,1.0,0.28430760953669504,0.27231794870514275,0.25271380129126014,0.33818742879339164,0.12546221311343442,0.311380462765789,0.21836953797419553,0.23388787044568668,0.19774203077900346,0.23045794008397374,0.19769587766566246,0.26499647655239567,0.2078656946711637,0.1926981664958035,0.22818642105219714,0.2346968333051944,0.1843788641126823,0.20086467242688388,0.19998655609925298,0.14126056774937637,0.23047825512516082,0.06470527671250281,0.2941295428117186,0.11366194986313187,0.2294883890356099,0.2375696095689061,0.21079742960578823,0.2225390212161583,0.20840580712020207,-0.0004934093567672301,0.20820545519426722,0.07486237079169236,0.23928679714615633,0.12611084331304484,0.06732242014091132,0.18474075327388995,0.20985560217800728,-0.016000515371322976,0.050736261019243424,0.24230943701997043,0.2871898291213857,0.18659082672354643,0.2465119256170452,,-0.02707813278829728,0.15350366327165868,
Mlc2,0.2648995920383574,0.29774676892218493,0.28430760953669504,1.0,0.36339759293842383,0.3599515122510438,0.43392043622409665,0.1378275525346946,0.35679864391187166,0.29511110680817926,0.603521264914055,0.2637568922241463,0.26240871994512543,0.3029206174747524,0.28907106405385374,0.21995040749062758,0.45689158651984163,0.24184078956275876,0.24989453403978898,0.26952535136822053,0.21958610642205406,0.2361943750824354,0.22233695969896752,0.31343719615514615,0.15008772269643314,0.44200955987787843,0.19929648749202952,0.2670586568278048,0.2781685833623375,0.20781896860696092,0.26378090073851,0.28085818557329717,-0.021599424609478644,0.27353616845076467,0.10507191128585829,0.3100420270586585,0.21560540715263177,0.063765093417477,0.16947784373722935,0.3422584616264552,-0.010494095825925554,0.2522149306381454,0.2583219559965717,0.32169423738562525,0.24985346969545733,0.3882157784993956,,-0.03750447981367405,0.11528428820916567,
RpL41,0.391412360634901,0.33273476736528507,0.27231794870514275,0.36339759293842383,1.0,0.38863834499994043,0.5328882421723871,0.2108202988724591,0.46935554101806887,0.32739828853695824,0.32821046305575546,0.2201261570691069,0.2765294165705569,0.3302548618828328,0.265878242650781,0.3032626876882629,0.3352085119768922,0.369601409100632,0.3027701678438381,0.37357740308749143,0.2774154420604536,0.30802260817288424,0.18978932513943847,0.3371836649311522,0.13279376849483765,0.4535564114653368,0.17613147835128953,0.2730287444838039,0.33341613645571017,0.29091580865646166,0.2912380468300535,0.3360534987033385,-0.016225469433374936,0.2963046124305502,0.08872618770093685,0.3140769391284349,0.25596132981390424,0.16465757197280348,0.23517767403003342,0.35642140591885624,0.024625972952760047,0.16926918254356457,0.2988876411258552,0.40694891200116534,0.2221863815798108,0.47662291170329574,,0.062406688042300346,0.244042306414324,
RpLP2,0.3444551864283742,0.34066994957092295,0.25271380129126014,0.3599515122510438,0.38863834499994043,1.0,0.5069337693362488,0.16203799451778697,0.431026638763134,0.2958587954488296,0.3728919452271913,0.2876016608388233,0.2893551036482184,0.3058599301569212,0.2653332227873101,0.3243112951795255,0.36856013061952664,0.34747658332699405,0.2676899998183774,0.2984740098209743,0.27143289446817015,0.23954856337795336,0.2660054452854926,0.3571130707096941,0.18594767937132908,0.41534825436779,0.2669140866704,0.2940736573211513,0.3049255109953077,0.282462103848665,0.25326754827944475,0.3360797492948757,-0.05100162944590164,0.2963339951683593,0.13102063782021636,0.2800226460258949,0.29117561985604057,0.17056988990593655,0.2520998229136513,0.30591302959206346,-0.045073138152500934,0.1870241093711528,0.3373838026891203,0.36742019826799704,0.2863065411442255,0.44630794293339204,,0.031198894550201663,0.19712997186438802,
mt:lrRNA,0.48432338311990625,0.4181959418240839,0.33818742879339164,0.43392043622409665,0.5328882421723871,0.5069337693362488,1.0,0.13538121548850632,0.6396237371162722,0.37982821354848917,0.4098313849000847,0.3982063378309111,0.3882415664617405,0.4308096166174102,0.3702916339913426,0.3951620631346906,0.4285528064714193,0.42250783388774915,0.35737857927953554,0.4268386330201837,0.32965766602171276,0.3342568409417113,0.254228112574208,0.3445053608121198,0.19096092790234998,0.5530410827193178,0.19529111461242218,0.3704076035894614,0.34986333031679223,0.3677650473921368,0.34083497200345203,0.3745501887481959,-0.00588598427880797,0.3844539035319804,0.1349560375117361,0.37500131009517745,0.41271455324369966,0.22660289763911018,0.3010784949993303,0.41943801204181014,0.04387868383370066,0.21935411018335765,0.4123353516959118,0.6454712965407993,0.29876702078024425,0.6778940165676179,,-0.007805615033937509,0.2981876350079981,
Nplp2,0.16543084524462337,0.15270551687095055,0.12546221311343442,0.1378275525346946,0.2108202988724591,0.16203799451778697,0.13538121548850632,1.0,0.29421501934406746,0.18646563060564472,0.16367909662450353,0.19017153638666878,0.13587674508173614,0.1400338961050655,0.17085883790108944,0.17818515154563086,0.14305822790659403,0.2048809783920242,0.06126575948088261,0.1811454903531667,0.15878509173135644,0.08623549249980303,0.11995691583096145,0.1673910816157924,-0.006947512635753143,0.00707651792237042,-0.008403552635051789,0.18061232595168758,0.1792821608522755,0.10794833964278662,0.13902811529375647,0.15010589615116174,0.004437832430280904,0.17747818263949497,0.022565380382181366,0.10171514046043253,0.12419003168249876,0.03537719124392807,0.13265309825625013,0.2060685745661283,0.0015828313952664826,0.04079946688105284,0.17741849047579678,0.12703731808447905,0.11845227901210316,0.09787852425653473,,0.001707427791779406,0.08553651307208003,
dpr2,0.39334250752164357,0.39047394973852156,0.311380462765789,0.35679864391187166,0.46935554101806887,0.431026638763134,0.6396237371162722,0.29421501934406746,1.0,0.33956720402297136,0.276455325424099,0.3621976861005432,0.26853934833332954,0.33243734852639567,0.3231831984472282,0.30415591329898867,0.3013502359543629,0.4050065462379408,0.2809849003023454,0.3651845242531568,0.2779899651422417,0.29037299799344174,0.14423214186141708,0.23825675851659447,0.10527613862673438,0.3041462782319539,0.05581560007162525,0.29759952550100033,0.3193754009961189,0.29462777483596475,0.2524659911556436,0.3245880638344079,-0.017581902237650524,0.2959937341560507,0.10217434787736618,0.2938877164020975,0.3409674613407163,0.14714249560010198,0.2720696649328448,0.3706197829339159,0.02282068729787857,0.09778444058460387,0.34520618368418543,0.46700402014580356,0.2031312098480184,0.4879356487495555,,-0.012700389987270215,0.3440953225321422,
RpL38,0.2699599244344357,0.24236086823370284,0.21836953797419553,0.29511110680817926,0.32739828853695824,0.2958587954488296,0.37982821354848917,0.18646563060564472,0.33956720402297136,1.0,0.27471216835950074,0.2140240284168198,0.16800281961888072,0.20083697632001585,0.2231064344803188,0.27239881377239067,0.29162292098011616,0.2359014448003922,0.2084803900711313,0.25699438930697194,0.17162143995440904,0.16604335878537935,0.08984272183416486,0.1797987390156557,0.15140359490535882,0.26789376480557026,0.13489961037340428,0.17123277903726952,0.23036876983835164,0.1799889221561339,0.21208912499654867,0.22349204539981501,-0.02835672366289068,0.2341418359320053,0.058997786772972724,0.22851918114798686,0.22731828790200914,0.06496509497727605,0.2418296781825502,0.2094553765553091,-0.0012918083459205571,0.14846617064849238,0.2400104837855931,0.2541336330735971,0.14824732492400752,0.2908877162025182,,0.03743775143911146,0.1416696548810528,
