,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.8676487732281785,0.8753845316239467,0.2356087078896393,0.8216429826937095,0.8706178063750506,0.6125009732625324,-0.11069602620036904,0.7441711234137803,0.8803773446223434,0.22791403900128032,0.8546178366763305,0.8087818194238533,0.8702296353946627,0.8172022930656104,0.6995378525829703,0.12014605837091324,0.8204751532562707,0.8546856601311177,0.8389776844872107,0.8767052296349311,0.8513864571122877,-0.17462416642017164,-0.14513995578853878,0.0465604508306535,0.21277078225210624,0.5428579576585261,0.7451000172500379,0.8084020231894481,0.7502661794182703,0.8625843993037083,0.8500233112147217,0.05307527850197536,0.7161437227147878,0.3357550944180197,0.7493105529105504,0.8230847801392815,0.17545556831325182,0.8370810439897333,0.8298671322292945,0.041084693100175686,0.01415511860564173,0.8158551921030498,0.6443163920953784,-0.07142571505751337,0.6975133157008553,-0.05690566626830261,-0.11102051024284929,0.14367674708743955,0.38015669749026676
RpS25,0.8676487732281785,1.0,0.8420925793402092,0.27424888522065827,0.8082082225881403,0.8518729286127981,0.5948026032994355,-0.06799196026079486,0.6552644700658851,0.840236834848348,0.2643370903992279,0.8266614046783843,0.7936192318886048,0.8381173373594765,0.8026015113511643,0.7079042863183876,0.1487589837992316,0.774317740809822,0.8339710330384276,0.8136329756108717,0.8444457412982546,0.8203637518386944,-0.1500682166086471,-0.1023477185269773,0.0713892071296264,0.1853334137789374,0.4628382860266893,0.7385975848403152,0.7954113071156794,0.7474140603285542,0.8253556379603474,0.8224439488442066,0.0466500763445157,0.7222064047796926,0.37082321048588723,0.7514929861594151,0.8055341698486135,0.1644799387176653,0.807684358662308,0.8101122751104174,0.05065842658222482,0.034038906313443494,0.7818328655673705,0.6127548222698914,-0.03258675501126273,0.6694600188959833,-0.0420712980606753,-0.09734689226580459,0.1210503015202772,0.3033774590831348
RpLP1,0.8753845316239467,0.8420925793402092,1.0,0.2408264746198157,0.803004378595744,0.8460554558348232,0.5872825852108117,-0.11780820013880842,0.7194635344728519,0.8580389328093146,0.23458092391201923,0.8456355468816793,0.7911650730321387,0.8438181866900836,0.7980357747175622,0.6991354268233689,0.09991661061041264,0.8251432414137361,0.8324812558015263,0.8202077955003686,0.8503878222376813,0.8178393118838663,-0.15517006652093038,-0.10271914398386527,0.08237551004442992,0.20615715776267407,0.5156808277480261,0.7339984084698314,0.8033149155176921,0.7440478364083941,0.8281577558071528,0.8405353235351354,0.016737500553500092,0.7113068372064795,0.38577268194907816,0.7553432705084844,0.8168965486466934,0.1920751732417159,0.8216588211229148,0.82387404136429,0.05888490280368581,0.03256733256843513,0.8078723154540856,0.6290889550442657,-0.03449096699722942,0.6889002914300002,-0.03885047061054657,-0.09694767770839217,0.17682823660256838,0.35047445639739483
Mlc2,0.2356087078896393,0.27424888522065827,0.2408264746198157,1.0,0.3650782603199648,0.27051927073074866,0.20684712373274536,0.10626593752225783,0.14986453396584873,0.2259679331327576,0.748218914051182,0.2587579907862765,0.30260367637418145,0.2672725671103269,0.2858194864838881,0.3259983206533165,0.40821444546323465,0.1438267320648469,0.26846749067602504,0.30191439685385446,0.2509393273393007,0.2889410946751874,0.10800318305356178,0.16952865190527236,0.15577639484584305,-0.02490482117592095,0.19228411996695463,0.2901830642549182,0.26417361366044023,0.3005031574557165,0.23574885472931853,0.2882114237670674,0.0632317055295261,0.3075273863788478,0.20677024252232784,0.305829072889667,0.27350300168395536,-0.025791419947241885,0.2735971404844532,0.27105375260454184,0.06849300375360921,0.14752979211313974,0.24312107923990608,0.147546182762924,0.20062274967842764,0.16169644867404684,-0.01085985335684381,0.04327918230082626,-0.052814211197120466,-0.015013050826820801
RpL41,0.8216429826937095,0.8082082225881403,0.803004378595744,0.3650782603199648,1.0,0.8267351444686957,0.6870060062216341,0.06563936785927303,0.6284245218921473,0.7886247235749617,0.39920770384142323,0.8014190612088979,0.8181819073976981,0.831716795722255,0.7997871515714611,0.8011157488339817,0.35410897857647594,0.6680294645991174,0.8028528185554472,0.836892279496179,0.790893381728993,0.8280413282961602,-0.10170608099860116,-0.030602800654768277,0.13209026784711433,0.14438308228534616,0.4978703588739935,0.7821882496624301,0.7929964220177694,0.79583851461424,0.7593775026869988,0.8220788042824952,0.11433588267102103,0.7859885362036281,0.3284614836738773,0.7969790423682617,0.8099186887563856,0.11992694885312746,0.8058995362804388,0.8143580385409008,0.0096466501784077,0.09547478749505274,0.7556737806393163,0.5664446915237441,0.0668335327861368,0.6124028938087551,-0.040479151986723534,-0.11325444852736949,0.05426715942679448,0.27143646899422114
RpLP2,0.8706178063750506,0.8518729286127981,0.8460554558348232,0.27051927073074866,0.8267351444686957,1.0,0.5741231291828103,-0.05123534510749428,0.6431338264180004,0.8446233126642627,0.2708770767732294,0.8291926709597476,0.8180392042993865,0.8468180068124196,0.8207613649558285,0.7198248305357459,0.17324754733917386,0.7751558145421736,0.8447927733391858,0.823638462883714,0.8510171588505588,0.8326191414472399,-0.14865740471245706,-0.09992458539406997,0.07092290780129794,0.17717628430836913,0.4639930829698302,0.7591883717171439,0.7985565061768644,0.781202941987328,0.832725144108421,0.8333032692359841,0.048964493259398834,0.7602026224194304,0.385810256191403,0.770309881975844,0.8200499035665921,0.10832738948088885,0.8100605457879777,0.823268509954426,0.039015586395362845,0.02689566343291104,0.7827444868496952,0.5690787572643746,-0.025005300432578106,0.6329152785563572,-0.03209593817169111,-0.09475094700178766,0.07280858033814046,0.30666991989560705
mt:lrRNA,0.6125009732625324,0.5948026032994355,0.5872825852108117,0.20684712373274536,0.6870060062216341,0.5741231291828103,1.0,-0.02089258062713643,0.4238356076508484,0.598663318057404,0.2821376682478705,0.580891031563941,0.6199976660348053,0.6284945917432785,0.5716651176196558,0.6350158142918139,0.3067864838516298,0.5291694845077985,0.5871132172819471,0.5998730400454441,0.5622780716639914,0.5822926263465139,-0.1752109579661321,-0.11516199547234843,0.0780248088412041,0.1147859760356438,0.16707846714672314,0.6138909789249017,0.5847046700289628,0.606825763516575,0.5123219508536823,0.5896985607546811,0.11817182541231219,0.6119781516368679,0.18549558985835357,0.6242554957584959,0.6289836552965057,0.2992602471726517,0.5813189935487462,0.6451764004603523,-0.034929952840678874,0.046810430191466676,0.6077271451070503,0.6956612763429507,-0.0032878377420977422,0.7068933674747944,-0.0762371185235879,-0.14271511511933188,0.28404875546765296,0.13094190712303
Nplp2,-0.11069602620036904,-0.06799196026079486,-0.11780820013880842,0.10626593752225783,0.06563936785927303,-0.05123534510749428,-0.02089258062713643,1.0,-0.22889683112717854,-0.15767735518806286,0.16544283932234416,-0.11245408403619023,-0.009005500466975857,-0.05640334451841301,0.0078044249992948725,0.09050782174491015,0.36269581989012883,-0.2793913941772278,-0.06209999149942593,-0.021506177283431557,-0.08768778809616179,-0.01391702997031388,0.20527216073304158,0.22348571932800618,0.09791284042589482,-0.10053415013752487,-0.11812166248296224,0.023101668503705004,-0.02206399539427023,0.0017628648069006043,-0.07093117767490638,-0.08453497918251765,0.15024443989397013,0.04959359902024866,-0.1195761596876882,-0.00989080324926494,-0.08316798907052082,-0.058787930597462464,-0.06086265326877776,-0.09769845799842695,-0.053387502489105246,0.15169689307310985,-0.10896630516552472,-0.10387140161134108,0.24277118914172657,-0.1571597721017138,-0.012571281976234458,-0.04180855650614003,-0.14731740711635857,-0.0993098473972531
dpr2,0.7441711234137803,0.6552644700658851,0.7194635344728519,0.14986453396584873,0.6284245218921473,0.6431338264180004,0.4238356076508484,-0.22889683112717854,1.0,0.744839469546025,0.09727749550382948,0.7388487478602899,0.5629181833971569,0.6770661900004908,0.5780202835964556,0.4572385378230199,-0.10959419771192756,0.77833420684459,0.6361840358955945,0.6658210071446683,0.6776219377167457,0.6512832971365655,-0.15554351508797976,-0.1376267500333373,0.04015338451340176,0.241853025482328,0.878376904072612,0.5241144335587608,0.6352952422602556,0.5080689300077845,0.6482537344002367,0.702666664166269,-0.039323770046209836,0.45343031701255493,0.28039426193655653,0.5520265046103673,0.6446070321986173,0.14173518865125168,0.679255871383649,0.6704529673403103,0.03356852782110653,-0.012844901542073434,0.6582833717670805,0.49389169914223147,-0.09059483872971319,0.5486287344820884,-0.040940755706012015,-0.07769657919869931,0.17303276275276971,0.4078725935844319
RpL38,0.8803773446223434,0.840236834848348,0.8580389328093146,0.2259679331327576,0.7886247235749617,0.8446233126642627,0.598663318057404,-0.15767735518806286,0.744839469546025,1.0,0.21631163508151904,0.8473616350170285,0.7751064654299509,0.8369048627425724,0.7861860462603252,0.6687955024079273,0.0381241286914781,0.8467876654004837,0.8316664638127987,0.8119236344641114,0.8534485756008583,0.815194411844013,-0.14156305392349214,-0.10646865676682489,0.07536635963418897,0.21736033876283137,0.528270364587349,0.7162980623675069,0.7930808200765367,0.7089792373478776,0.8303392981366704,0.8420488099742636,0.0024324597540320856,0.6741575896723455,0.356311283192704,0.7292448331088424,0.8121490364708102,0.2086725579369761,0.8131354126903256,0.8223273936223626,0.036043993587316796,0.033355039751689665,0.8175761318312248,0.6669996623342218,-0.03653349684512661,0.728960997265806,-0.04154848190960602,-0.11170315721114632,0.16591088034440818,0.3348767276089871
