,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.5614913157458319,0.5671301999496778,0.31366369948331546,0.7246698394369301,0.5905356969400993,0.6065069315868897,0.20222881846435037,0.5483553741488119,0.6094000182219184,0.3941276817864953,0.5170933874397515,0.5455232928048629,0.5739872151805597,0.507051678161146,0.5953495631466232,0.39424587917689385,0.4298462501639077,0.5699078059881874,0.5390306482596782,0.5195220506694691,0.5486432311549634,0.11611018452630742,0.13322870059693562,0.015118208605886963,0.014670972238287158,-0.00418795966174831,0.48719201778969773,0.4749683360597207,0.4898284400911064,0.5338400467042423,0.5239441908253273,-0.05209728928612557,0.49819594713921855,0.23411529543239396,0.4599457128311422,0.4768003859695849,0.2072371203658616,0.5142277865195071,0.5180184189995619,-0.043621751721788254,0.048158557058363465,0.49171946790691873,0.47685276443322716,0.14622558891706966,0.4776242889282318,-0.011356334434543652,,,-0.017406227404665065
RpS25,0.5614913157458319,1.0,0.5054232475527599,0.3621830440160612,0.588685054899042,0.49521386753038615,0.5402362325701577,0.2558385874793718,0.448596964275289,0.48582777144291106,0.35230129347886274,0.45914078482939397,0.46593340898509317,0.4792927910121006,0.49653736063866444,0.4943464530179053,0.41764510710514285,0.37129776932219744,0.5053120638986499,0.5022611528048393,0.4702329106907253,0.48914109597158034,0.10370741103391756,0.10619898296415162,0.02049147590262423,-0.014424076753687284,0.02960968348772123,0.43780641973836093,0.4580573811077849,0.43917243168300185,0.4483827818494387,0.44858935861905136,-0.05637901692999884,0.4005077482617281,0.22303157312475985,0.4743768560931856,0.4858425141068765,0.18273730763521578,0.4623246441655515,0.4444457894669372,0.01965582917924113,0.03671331436988542,0.42931119121332456,0.36450878119517643,0.09141243038423413,0.3955664633111926,0.026115084902398764,,,-0.04961452368676484
RpLP1,0.5671301999496778,0.5054232475527599,1.0,0.29860719556000603,0.6070594414503071,0.5024762345700593,0.5191178492102885,0.21947577435689922,0.4358413232411086,0.51278913684021,0.2944969998447096,0.44934375499556756,0.44355928719419785,0.47098487820182655,0.45880783902271627,0.5302365442882748,0.3801128284846468,0.3784762470538405,0.5127398290840732,0.5028819190564228,0.47863579543178747,0.5023818121608382,0.10717684290740548,0.12496094503843423,-0.01593041898013337,-0.005133285807103121,-0.026388486588936028,0.4309535025013691,0.49560962849952545,0.4376724365258459,0.4969975574468161,0.4539447913121716,-0.06631982059949566,0.389931009365982,0.2273860283346285,0.44452084269582953,0.4435834016036018,0.22555397296292895,0.43327028009085633,0.4538149521541612,-0.03570582144554725,0.04687144668243043,0.4357870978686988,0.413159022951635,0.11230978386853961,0.44577218963315535,-0.04003610299008361,,,-0.039615239105192476
Mlc2,0.31366369948331546,0.3621830440160612,0.29860719556000603,1.0,0.35792907372240734,0.35922817438061616,0.2778313256865504,0.05964573630870477,0.3358542173876725,0.27842852458990514,0.6236567719358486,0.3077932257349618,0.2730992985133108,0.35576630014021343,0.32964114035034126,0.3390236079358573,0.665612046355121,0.2882755862559784,0.3486355462525465,0.3286602618389708,0.332383326702933,0.31618496348212705,0.15811894919570602,0.11719595568599483,-0.015694992208551778,-0.049320766380551,0.059510502708493646,0.3648599472186974,0.34875267421706113,0.3270185747522793,0.26971766258771546,0.30420973420485353,-0.0973963974309412,0.3090527300020225,0.3354014634977751,0.32422544988650603,0.29720830757762134,0.039304933154994504,0.30724164116816066,0.36470654896827587,-0.0270954188378171,0.08011651457136976,0.28794007555320955,0.2127893169371227,0.12186262249127289,0.2563785297202873,0.025347124661584657,,,-0.05415027505522373
RpL41,0.7246698394369301,0.588685054899042,0.6070594414503071,0.35792907372240734,1.0,0.6207542590409066,0.667578338498737,0.26939667318329175,0.5699871177340278,0.670896244841894,0.41863867205418764,0.5501905156256998,0.5993820121804733,0.5955325696064382,0.5764868784665561,0.6488351040541095,0.42428935917511007,0.43595670181746377,0.6382815686692621,0.5876778983440505,0.5796896855168091,0.6132542592159351,0.1352238940000472,0.13893524433329413,0.025319101017217408,-0.0032567445468756314,-0.010074694233598063,0.5335803448576829,0.5236488335998133,0.5534179530019585,0.5785390784257274,0.5709791945126944,-0.11768881025119199,0.5302704445795776,0.2514226299063879,0.5377514341253627,0.5380558157661278,0.24260538336315787,0.5732474347073411,0.5520357172774569,-0.03308973055952337,0.051603128987961495,0.5243320941268654,0.49693438401431483,0.1558397035902284,0.5468590985263493,-0.024264439462719903,,,-0.060039381427155356
RpLP2,0.5905356969400993,0.49521386753038615,0.5024762345700593,0.35922817438061616,0.6207542590409066,1.0,0.4930137335438637,0.24271645908612283,0.49139889618485216,0.5185018717164769,0.3642187268903123,0.4766755677423021,0.5100775736721441,0.5407340421501325,0.4748809467059166,0.5492634240075347,0.3854490215068051,0.4027643100657585,0.5473781240030428,0.502504355761495,0.5250100583361796,0.4918927075684466,0.11987212310604108,0.09963021769819148,0.0075598335074435075,-0.007478233804603271,-0.009342431931809045,0.4459515792472606,0.48056606797122947,0.5031416125587064,0.44330629460604903,0.4799695269045015,-0.08237317419727945,0.4592649891733209,0.3200000421323338,0.47507705379599857,0.4881758237499334,0.19406249147589927,0.4598239413870953,0.48143956081568706,-0.02110529365488557,0.049572527797447065,0.42081882499854284,0.3480378780538538,0.17909989906308732,0.4035209582317156,-0.020836471134511186,,,-0.05127868052020725
mt:lrRNA,0.6065069315868897,0.5402362325701577,0.5191178492102885,0.2778313256865504,0.667578338498737,0.4930137335438637,1.0,0.2446032778059351,0.559923782104555,0.5481285213909722,0.31092787430478763,0.4729624452410208,0.4720993503820792,0.5075145550095068,0.5033845409166784,0.5163052369181802,0.34174724740175055,0.37806616485806693,0.5160992680590769,0.5255991619287718,0.4921521401222892,0.5379617445661089,0.07829592288699813,0.09858429351441723,0.020094141224118508,0.03443047028641358,0.04838334258873615,0.4315266255248597,0.459430506948138,0.43715206491299835,0.4924397178930569,0.45078350396151157,-0.11802253194821784,0.3866441247232781,0.16490135350055055,0.4332706275761712,0.4530775229669069,0.1214734161336677,0.5226387706111428,0.4440506632810967,-0.015203763956606312,0.034568675658160505,0.45920517320660237,0.5148757028208567,0.10376413115760239,0.5459822223145517,-0.02420348143832474,,,-0.00030188809066764054
Nplp2,0.20222881846435037,0.2558385874793718,0.21947577435689922,0.05964573630870477,0.26939667318329175,0.24271645908612283,0.2446032778059351,1.0,0.20044834849421955,0.18727616694610058,0.06077335631278288,0.20111704327822982,0.1781431774231695,0.17973321380629032,0.217234997384398,0.20338152837467596,0.10236735505743506,0.09994241068992907,0.17613360037992348,0.2550202624240378,0.18997591618716173,0.20755762370378122,0.05247688558273708,-0.008563583903966478,0.14785900419847997,0.022631545891257297,-0.045861566617369676,0.18486011384722079,0.2029324546161007,0.17980276515104202,0.2743285847352445,0.17936466322904948,-0.057147294985161703,0.14682260798562297,-0.020567733780214568,0.17242516247688475,0.19587056694451394,0.12361403072503271,0.23634743039331496,0.18514306190419966,-0.052407319981329296,-0.02206598244532055,0.19775709084663207,0.11789022436595739,0.02324989024379446,0.08627025417406002,0.0004830941108641224,,,-0.017489362314601315
dpr2,0.5483553741488119,0.448596964275289,0.4358413232411086,0.3358542173876725,0.5699871177340278,0.49139889618485216,0.559923782104555,0.20044834849421955,1.0,0.47728162356031717,0.3457098789255762,0.4335171631330721,0.4344176889812386,0.4752559940203806,0.4186354933840291,0.46766574944231326,0.4165562672932358,0.4020365796027916,0.4735662684098723,0.4396251653971707,0.4376361142677882,0.48231365533485543,0.12141156707789992,0.14717437270848946,-0.0105774356364943,0.03267229687693622,0.0559717058155753,0.4293854505354819,0.42640878591745995,0.41213496214531403,0.4207785967496043,0.4040254545827228,-0.07004436090543345,0.4325288345852215,0.29092333006092097,0.4085574760871847,0.3871333015774549,0.10661075727507589,0.41696714522987893,0.4643924640202034,0.002512954427839313,0.0701249040554482,0.4244684868381144,0.3532685449667594,0.12238598401098458,0.3662632601070076,0.03401932002007637,,,-0.03311618881661638
RpL38,0.6094000182219184,0.48582777144291106,0.51278913684021,0.27842852458990514,0.670896244841894,0.5185018717164769,0.5481285213909722,0.18727616694610058,0.47728162356031717,1.0,0.35134310366504296,0.46134943211218155,0.5095790921685673,0.48741659738069276,0.46741978946598944,0.5781968168094336,0.3703854018159518,0.41421768846429935,0.5699140056810669,0.5098920546045471,0.47960622650020485,0.5325543919150245,0.1201543610808897,0.14414679825512777,-0.017167266422821768,0.01919868586991393,-0.023004752678118977,0.4620616000351628,0.42851149488427404,0.45215602424942425,0.47579468414030696,0.485707175474754,-0.07784351785474625,0.4092857892889294,0.23827710965912477,0.45755939865836864,0.4299711394473186,0.2355886187297055,0.4863652778969196,0.46075872850439087,-0.04858984093995216,0.04058146154814873,0.4286067481167738,0.4106703546033893,0.09013791665307441,0.4421658095662074,-0.03358973192618025,,,-0.018887952140380703
